"x"
"1",66.665
"2",66.199
"3",74.081
"4",51.978
"5",51.135
"6",47.702
"7",61.597
"8",69.425
"9",55.449
"10",70.817
"11",65.633
"12",75.28
"13",68.203
"14",59.595
"15",100.271
"16",58.587
"17",57.164
"18",57.276
"19",53.013
"20",54.596
"21",67.849
"22",86.335
"23",51.886
"24",52.371
"25",98.133
"26",63.596
"27",73.818
"28",36.151
"29",49.295
"30",70.867
"31",64.355
"32",57.917
"33",56.885
"34",76.385
"35",106.941
"36",44.24
"37",57.686
"38",43.21
"39",43.748
"40",69.252
"41",55.075
"42",101.599
"43",51.474
"44",67.375
"45",68.055
"46",57.863
"47",49.216
"48",86.056
"49",58.86
"50",51.585
"51",62.896
"52",40.489
"53",76.662
"54",71.852
"55",67.998
"56",51.39
"57",52.016
"58",72.488
"59",41.308
"60",118.604
